Anime [id=113, name=交响诗篇, oldName=交響詩篇エウレカセブン, message=51话 / 2005年4月17日 / 京田知己 / BONES, rating=8.2, number=1878]
Anime [id=114, name=日本动画（人）博览会, oldName=日本アニメ（ーター）見本市, message=35话 / 2014年11月7日, rating=8.2, number=670]
Anime [id=115, name=龙珠, oldName=ドラゴンボール, message=153话 / 1986年2月26日 / 鳥山明（集英社「週刊少年ジャンプ」連載）, rating=8.2, number=2065]
Anime [id=116, name=歌牌情缘, oldName=ちはやふる, message=25话 / 2011年10月4日 / 浅香守生 / 末次由紀（講談社「BE・LOVE」連載）, rating=8.2, number=2926]
Anime [id=117, name=JOJO的奇妙冒险 星尘斗士, oldName=ジョジョの奇妙な冒険 スターダストクルセイダース, message=24话 / 2014年4月4日, rating=8.2, number=2477]
Anime [id=118, name=小马驹G4 第二季, oldName=My Little Pony: Friendship Is Magic : S2, message=26话 / 2011年9月17日, rating=8.4, number=160]
Anime [id=119, name=宇宙兄弟, oldName=宇宙兄弟, message=99话 / 2012年4月1日 / 渡辺歩 / 小山宙哉（講談社「モーニング」連載中）, rating=8.2, number=1098]
Anime [id=120, name=爆漫王。2, oldName=バクマン。2, message=25话 / 2011年10月1日, rating=8.2, number=2369]
Anime [id=121, name=凉宫春日的忧郁, oldName=涼宮ハルヒの憂鬱, message=14话 / 2006年4月2日 / 石原立也 / 谷川流 / 池田晶子, rating=8.1, number=6575]
Anime [id=122, name=监狱兔 第一季, oldName=Usavich, message=13话 / 2006年 / 富岡聡 / 富岡聡、宮崎あぐり / 宮崎あぐり, rating=8.1, number=2084]
Anime [id=123, name=机动战士高达 第08MS小队, oldName=機動戦士ガンダム 第08MS小隊, message=11话 / 1996年1月25日 / 神田武幸（第1話 - 第6話）、飯田馬之介（第7話以降） / 矢立肇、富野由悠季 / 川元利浩, rating=8.2, number=1279]
Anime [id=124, name=银魂°, oldName=銀魂°, message=51话 / 2015年4月8日, rating=8.2, number=1487]
Anime [id=125, name=Code Geass 反叛的鲁路修R2, oldName=コードギアス 反逆のルルーシュR2, message=25话 / 2008年4月6日 / 谷口悟朗 / 木村貴宏, rating=8.1, number=6350]
Anime [id=126, name=白兔糖, oldName=うさぎドロップ, message=11话 / 2011年7月7日 / 宇仁田ゆみ, rating=8.1, number=4613]
Anime [id=127, name=NO GAME NO LIFE 游戏人生 ZERO, oldName=ノーゲーム・ノーライフ ゼロ, message=1话 / 2017年7月15日 / 榎宮祐（MF文庫J 『ノーゲーム・ノーライフ』／KADOKAWA刊） / 田崎聡, rating=8.2, number=1356]
Anime [id=128, name=夏目友人帐, oldName=夏目友人帳, message=13话 / 2008年7月7日 / 大森貴弘 / 緑川ゆき, rating=8.1, number=5155]
Anime [id=129, name=猎人 OVA, oldName=HUNTER×HUNTER, message=8话 / 2002年1月17日 / 冨樫义博, rating=8.2, number=710]
Anime [id=130, name=空之境界 第七章 杀人考察（后）, oldName=空の境界 第七章 殺人考察(後), message=1话 / 2009年8月8日 / 瀧沢進介 / 奈須きのこ / 須藤友徳、高橋タクロヲ、小船井充, rating=8.1, number=3725]
Anime [id=131, name=AIR, oldName=, message=13话 / 2005年1月6日 / 石原立也 / Key/Visual Art's / 荒谷朋恵, rating=8.1, number=5094]
Anime [id=132, name=排球少年, oldName=ハイキュー!!, message=25话 / 2014年4月6日 / 古舘春一, rating=8.1, number=2238]
Anime [id=133, name=冰菓, oldName=氷菓, message=22话 / 2012年4月22日 / 武本康弘 / 米澤穂信, rating=8.1, number=8024]
Anime [id=134, name=续 夏目友人帐, oldName=続 夏目友人帳, message=13话 / 2009年1月5日 / 大森貴弘 / 緑川ゆき / 髙田晃, rating=8.1, number=3884]
Anime [id=135, name=小马驹G4 第一季, oldName=My Little Pony: Friendship Is Magic (Season 1), message=26话 / 2010年10月10日, rating=8.3, number=239]
Anime [id=136, name=你的名字。, oldName=君の名は。, message=1话 / 2016年8月26日 / 新海誠 / 田中将賀, rating=8.1, number=4824]
Anime [id=137, name=寒蝉鸣泣之时 解, oldName=ひぐらしのなく頃に解, message=24话 / 2007年7月5日 / 今千秋 / 竜騎士07 / 07th Expansion, rating=8.1, number=4016]
Anime [id=138, name=天元突破红莲螺岩 螺岩篇, oldName=劇場版 天元突破グレンラガン 螺巌篇, message=1话 / 2009年4月25日 / 今石洋之 / GAINAX・中島かずき / 錦織敦史, rating=8.1, number=1277]
Anime [id=139, name=昭和元禄落语心中, oldName=昭和元禄落語心中, message=13话 / 2016年1月8日 / 小俣真一 / 雲田はるこ「昭和元禄落語心中」（講談社「ITAN」連載）, rating=8.1, number=1285]
Anime [id=140, name=搞笑漫画日和, oldName=ギャグマンガ日和, message=12话 / 2005年2月7日 / 大地丙太郎 / 増田こうすけ（集英社 「月刊少年JUMP」连载）, rating=8.1, number=3214]
Anime [id=141, name=狮子王, oldName=The Lion King, message=1话 / 1994年6月15日/ / 罗杰·阿勒斯 / 罗伯·明可夫, rating=8.1, number=1351]
